"","gender","row","seat","instructor","classid","time","att","class","material","teacher"
"1","f",1,3,"P",2,1,7,7,8,7
"2","f",1,3,"P",2,2,8,6,9,8
"3","f",1,3,"P",2,3,8,7,6,9
"4","f",1,3,"P",2,4,6,6,5,7
"5","f",1,3,"R",4,1,8.5,6,8,8
"6","f",1,3,"R",4,2,9,5,7,7
"7","f",1,3,"R",4,3,8,5,7,6
"8","f",1,3,"R",4,4,6.5,7,5,6
"9","f",1,3,"R",5,1,8,8,7,6
"10","f",1,3,"R",5,2,7,4,6.5,5.5
"11","f",1,3,"R",5,3,8,5,7,7
"12","f",1,3,"R",5,4,9,7,8,9
"13","f",1,4,"P",2,1,6,7,6,7
"14","f",1,4,"P",2,2,7,7,7,7
"15","f",1,4,"P",2,3,8,7,7,7
"16","f",1,4,"P",2,4,6,7,6,6
"17","f",1,4,"R",4,1,7.5,7,6,6.5
"18","f",1,4,"R",4,2,6,7,8,8
"19","f",1,4,"R",4,3,7.5,7,8,8
"20","f",1,4,"R",4,4,4.5,7,6.5,6.5
"21","f",1,4,"R",5,1,7.5,6,9,8.5
"22","f",1,4,"R",5,2,7.5,6,8,6.5
"23","f",1,4,"R",5,3,4,6,4,6
"24","f",1,4,"R",5,4,4,6,6,6
"25","f",1,8,"R",5,1,8,9,10,9
"26","f",1,8,"R",5,2,10,8,10,9
"27","f",1,8,"R",5,3,8,9,9,9
"28","f",1,8,"R",5,4,9,9,10,9
"29","f",2,2,"P",0,1,9,10,6,10
"30","f",2,2,"P",0,2,8,8,9,10
"31","f",2,2,"P",0,3,10,9,10,10
"32","f",2,2,"P",0,4,10,8,10,10
"33","f",2,4,"P",2,1,3,5,4,6
"34","f",2,4,"P",2,2,5,5,5,6
"35","f",2,4,"P",2,3,3,4,3,6
"36","f",2,4,"P",2,4,3,4,4,6
"37","f",2,4,"R",4,1,7,7,7,8
"38","f",2,4,"R",4,2,7,5.5,5,8
"39","f",2,4,"R",4,3,6,5.5,8,7
"40","f",2,4,"R",4,4,8,5,8.5,8
"41","f",2,5,"P",1,1,8,8,9,7
"42","f",2,5,"P",1,2,9,9,9,9
"43","f",2,5,"P",1,3,8,9,8,7
"44","f",2,5,"P",1,4,NA,NA,NA,NA
"45","f",2,6,"P",0,1,8,8,9,9
"46","f",2,6,"P",0,2,7,8,9,9
"47","f",2,6,"P",0,3,9,9,8,6
"48","f",2,6,"P",0,4,6,8,6,7
"49","f",2,6,"P",1,1,10,9,10,9
